ঠিক	আছে	7181
তুমি	কি	4275
মনে	হয়	3044
আমি	তোমাকে	2976
আমি	জানি	2642
করতে	হবে	2170
তাই	না	1989
না	না	1950
আমি	তোমার	1869
আমার	সাথে	1770
মনে	হচ্ছে	1760
জানি	না	1630
আপনি	কি	1501
আমার	মনে	1497
তুমি	আমার	1436
তুমি	আমাকে	1434
আমি	আমার	1423
আর	আমি	1411
যেতে	হবে	1410
হবে	না	1406
এখান	থেকে	1399
আমি	কি	1390
আমার	কাছে	1348
করার	জন্য	1333
হতে	পারে	1285
তোমার	সাথে	1277
এটা	কি	1262
হয়ে	গেছে	1237
হয়ে	যাবে	1230
কিন্তু	আমি	1217
আমি	এটা	1208
পারবে	না	1179
না	আমি	1168
করতে	পারি	1153
আমি	তাকে	1116
এটা	আমার	1072
সাথে	কথা	1035
আমি	দুঃখিত	1029
কথা	বলতে	1008
তোমার	জন্য	969
দয়া	করে	951
আমার	জন্য	923
আমি	এই	920
আমার	কথা	869
করতে	পারবে	865
সাথে	দেখা	847
পারবো	না	837
করো	না	837
যদি	তুমি	836
না	কেন	834
আমি	তো	814
করতে	পারে	812
এটা	একটা	804
আমি	শুধু	788
আর	তুমি	787
তুমি	জানো	766
কিছু	একটা	763
আমি	এখানে	761
কি	হয়েছে	752
তোমার	কাছে	745
কাছ	থেকে	742
ছিল	না	737
আমি	আপনাকে	730
তুমি	এটা	724
করবে	না	722
সে	আমার	714
পারছি	না	707
তার	সাথে	694
তুমি	ঠিক	692
চাই	না	673
পারে	না	667
কি	মনে	662
সাহায্য	করতে	659
তুমি	এখানে	658
এই	যে	652
তুমি	তোমার	649
আমি	একটা	647
আমার	বাবা	642
যে	তুমি	640
তুমি	তো	626
এটা	তোমার	622
থেকে	বের	616
সে	কি	611
আমরা	কি	610
আমি	তার	610
সব	ঠিক	604
আমি	চাই	603
আমার	নাম	603
কিছু	না	595
আর	আমার	587
মনে	আছে	585
না	তুমি	585
যে	আমি	577
আমি	আপনার	573
তোমার	কি	572
দরকার	নেই	564
হয়	না	560
পারব	না	557
খুঁজে	বের	548
আমি	আর	538
যদি	আমি	535
করা	হয়েছে	534
আমাদের	সাথে	514
যাবে	না	514
বন্ধ	করে	511
তুমি	তাকে	510
করতে	পারেন	508
দিতে	হবে	508
খুব	ভালো	505
কিন্তু	তুমি	502
কাজ	করে	501
করবেন	না	501
না	যে	498
হতে	হবে	494
আমি	এখন	492
সে	আমাকে	490
করতে	চাই	489
আশা	করি	483
এখন	আমি	476
কি	করতে	475
যখন	আমি	474
দেখা	করতে	469
আর	তোমার	468
আমি	ঠিক	468
কাজ	করতে	467
দেখা	হবে	466
যাই	হোক	460
আমরা	এখানে	460
আমরা	সবাই	459
তাহলে	আমি	454
পারি	না	454
আমার	দিকে	454
এক	মিনিট	449
মনে	করি	447
আর	কোন	447
আপনি	আমাকে	446
করা	হবে	444
তুমি	কী	444
আমি	মনে	443
কি	হচ্ছে	441
আমি	তাদের	440
খুব	ভাল	440
বুঝতে	পারছি	439
বের	করে	439
সে	তার	436
মারা	গেছে	434
করি	না	433
আমি	একজন	430
না	এটা	430
হয়ে	যায়	425
নিয়ে	যাও	424
সে	আমাদের	423
কিন্তু	আমার	421
তুমি	যদি	420
কি	আমার	420
এবং	আমি	419
এটা	করতে	419
হচ্ছে	না	419
তাহলে	তুমি	419
শান্ত	হও	418
এটা	তো	418
তুমি	একটা	417
কোন	সমস্যা	413
বের	করতে	409
বন্ধ	করো	408
কিছু	নেই	407
আমি	কিছু	404
ঠিক	আছি	402
করা	উচিত	401
তোমার	বাবা	401
কি	হবে	400
এর	জন্য	400
আমি	বুঝতে	399
আমি	নিশ্চিত	399
ছেড়ে	দাও	399
এখানে	কি	396
তার	মানে	394
আমি	জানতাম	392
তাই	আমি	392
যাও	যাও	392
করা	যাক	389
কিন্তু	এটা	389
করে	না	389
তার	জন্য	387
ঠিক	হয়ে	387
বছর	ধরে	385
ব্যাপার	না	385
আপনার	সাথে	383
আর	কিছু	383
তুমি	কোথায়	383
আর	এই	381
তুমি	আর	380
কিন্তু	সে	380
না	স্যার	378
শেষ	হয়ে	376
জন্য	ধন্যবাদ	376
আর	এটা	372
করতে	পারবো	371
আর	এখন	371
আমি	ওকে	371
আমি	ভেবেছিলাম	371
চলে	যাও	370
এটা	কোন	369
বছর	আগে	369
আর	তার	363
তুমি	আমাদের	363
চলে	গেছে	362
না	হয়	360
আপনি	আমার	359
আর	সে	357
করে	দাও	357
কী	হয়েছে	356
তাই	নাকি	356
ঠিক	আছো	352
আমি	জানিনা	351
করতে	পারো	350
কারণ	আমি	349
জন্য	আমি	349
থাকতে	হবে	349
আমি	একটি	348
তুমি	এই	347
আমি	তোমাদের	346
হ্যাঁ	আমি	345
জানি	তুমি	339
এটা	ঠিক	338
ঠিক	না	335
পছন্দ	করি	333
কথা	বলছি	332
আমরা	এখন	332
কিছু	মনে	331
যায়	না	331
আমাদের	কাছে	330
ঠিক	আছ	330
না	আমার	330
আমি	অনেক	329
বলতে	পারি	327
আমি	বলছি	327
খুব	সুন্দর	327
করার	চেষ্টা	326
একটা	জিনিস	325
আপনার	জন্য	325
এটা	আমাদের	325
কিছু	করতে	325
কথা	বলে	323
আমরা	আমাদের	322
না	সে	321
যেতে	পারে	321
সমস্যা	নেই	321
যখন	তুমি	319
তুই	কি	318
সব	কিছু	318
শেষ	করে	317
জন্য	অপেক্ষা	317
সাহায্য	করো	316
আমরা	এই	315
আর	কি	314
তারা	আমাদের	314
দিকে	তাকাও	313
বিশ্বাস	করি	312
কি	তোমার	311
কি	আমাকে	311
কিছুই	না	310
করা	যায়	310
সরে	যাও	310
এমন	কিছু	310
আমাকে	সাহায্য	309
আমরা	এটা	308
এর	সাথে	308
আজ	রাতে	308
সে	তোমাকে	308
বের	করো	308
বলতে	চাই	307
আমার	একটা	307
এখন	কি	306
যে	সে	306
তো	তুমি	306
কি	করছ	305
কিন্ত	আমি	305
করা	হয়	305
অনেক	কিছু	304
তুমি	এখন	304
পছন্দ	করে	303
আর	আমরা	301
বের	হয়ে	301
বাদ	দাও	301
কিন্তু	আমরা	301
যদি	সে	297
নিতে	হবে	297
ছিলো	না	297
তার	কাছে	296
আমি	না	296
যে	আমার	296
আমি	কোন	296
নাম	কি	295
আর	তারপর	295
তো	আমি	294
আমি	যদি	294
না	হলে	293
আমি	সব	292
না	কিন্তু	291
আমি	যা	290
নিয়ে	যেতে	289
আছে	আমি	289
আমি	তোকে	289
মাফ	করবেন	288
আমি	বলতে	288
দিতে	পারি	288
আমাদের	জন্য	288
যদি	না	286
তুমি	তার	286
আমার	ছেলে	286
শুধু	একটা	282
মনে	করো	282
বন্ধ	কর	281
এখন	তুমি	281
তুমি	জান	281
তুমি	একজন	279
অনেক	বড়	279
একটা	কথা	278
সে	তোমার	277
কথা	মনে	276
করতে	পারব	276
আমি	খুব	275
চেষ্টা	করছি	275
তোমার	নাম	275
শুভ	সকাল	274
বিশ্বাস	করতে	274
তার	নাম	274
জন্য	একটা	274
আমাকে	যেতে	273
এই	তো	271
কি	করছো	270
আমরা	তাকে	269
আমার	কোন	269
হয়ে	গেল	269
তুমি	কে	269
কি	জানো	268
তোমার	মত	268
কথা	বলা	267
কি	এটা	267
সাথে	আমার	267
এখন	আমার	267
ওর	সাথে	266
থেকে	দূরে	266
কি	না	266
আমার	মা	265
যে	কোন	265
হা	হা	264
হয়	নি	263
কি	করে	263
বিশ্বাস	করো	263
ওহ	না	262
তুমি	যা	262
আপনি	আপনার	261
বাবা	মা	261
এটা	আমি	260
যদি	আমরা	260
আপনার	কাছে	260
আমার	বন্ধু	260
হয়ে	যাচ্ছে	259
তাহলে	আমরা	258
সে	একটা	258
আমার	উপর	258
দেখতে	পাচ্ছি	258
করতে	চাও	258
এটা	নিয়ে	257
সে	একজন	257
কাজ	করছে	257
চলে	যেতে	257
আমি	আসলে	256
কি	আছে	255
কি	অবস্থা	255
যেতে	পারি	254
কী	করছ	254
শেষ	পর্যন্ত	253
বলতে	হবে	253
কেন	তুমি	253
যে	এটা	252
এর	মানে	252
মনে	করে	252
আর	যদি	249
এখন	আর	249
চিন্তা	করো	249
বলতে	চাচ্ছি	248
কি	করবো	248
যদি	আপনি	247
তারা	আমাকে	247
হয়ে	গিয়েছে	247
করতে	হয়	246
সাহায্য	করবে	246
আপনি	জানেন	244
কথা	বলার	244
এসব	কি	243
এখন	আমরা	242
জানে	না	242
চাই	তুমি	242
তো	আমার	242
মানে	কি	241
করা	হয়	241
যদি	তোমার	241
ফিরে	যেতে	241
যে	এই	241
বুঝতে	পেরেছি	240
তোমরা	কি	240
অনেক	বেশি	239
চুপ	কর	239
তোমার	কথা	239
আমার	কাজ	239
কাজ	শেষ	238
এক্সকিউজ	মি	238
যে	আমরা	237
কি	হলো	237
মাঝে	মাঝে	237
নিয়ে	কথা	236
আমি	যে	236
দেখতে	চাই	236
যাচ্ছে	না	236
কিছুই	নেই	235
কিন্তু	এখন	235
দেখা	যাচ্ছে	235
এটা	অনেক	234
আমার	কিছু	234
বের	হতে	234
আমার	ভাই	234
করছি	না	233
করে	দিতে	233
কি	কোন	232
জানতাম	না	231
না	তো	231
নিয়ে	যাবে	231
নিয়ে	আসো	231
পারো	না	230
আমি	আসছি	230
শুরু	করে	229
তুমি	অনেক	229
চলো	যাই	229
কোথা	থেকে	228
ভালো	করে	228
পাগল	হয়ে	227
থাকতে	পারে	227
লাগবে	না	227
চুপ	করো	226
তুমি	কেন	226
পারবেন	না	225
আপনি	এই	224
আমরা	তাদের	224
আর	একটা	224
যদি	আমার	224
তোমার	মা	224
শুরু	করা	223
এটা	কী	222
আমি	কী	222
কী	করতে	222
জন্য	প্রস্তুত	222
যে	আপনি	221
সবচেয়ে	বড়	221
থেকে	চলে	221
সে	এখন	220
মারা	যাবে	220
খুজে	বের	220
করবো	না	219
হয়	আমি	218
যেও	না	218
আমি	একটু	217
করতে	পারছি	217
কোন	কিছু	217
না	আমরা	216
সে	তো	216
মেরে	ফেলবে	215
তুমি	কিভাবে	215
কী	হচ্ছে	214
সময়	হয়েছে	214
যে	তোমার	214
সময়	নেই	213
আপনি	এটা	213
কি	বলতে	213
কিন্তু	আপনি	213
থাকবে	না	213
অপেক্ষা	করো	213
ঠিক	করে	213
আপনি	যদি	212
পাওয়া	যায়	212
শেষ	করতে	212
আমি	সত্যিই	211
জানো	না	211
না	করে	211
অনেক	ধন্যবাদ	210
আপনি	এখানে	210
এটা	শুধু	210
সে	এখানে	210
আসবে	না	210
আমি	সেটা	209
এখন	থেকে	209
আমার	জীবন	209
এই	সব	209
আপনি	একটি	208
কাজ	করবে	208
কথা	না	208
তোমাকে	আমার	208
এবং	আমার	208
ও	আমার	207
কিন্তু	তোমার	207
করতে	যাচ্ছি	207
যেতে	দাও	207
করা	যাবে	206
এটি	একটি	206
কথা	বলো	206
তোমার	কোন	206
এখন	তোমার	206
কি	চাও	206
যতক্ষণ	না	206
তো	আর	205
চেষ্টা	করো	205
দেখে	মনে	205
জানতে	চাই	204
আমি	কিভাবে	204
করে	দিয়েছে	203
একদম	ঠিক	203
সে	এটা	202
কিছু	আছে	202
হ্যাঁ	হ্যাঁ	202
আমার	হাতে	202
জন্য	আমার	201
জানো	আমি	201
অপেক্ষা	করতে	201
আপনার	কি	200
তাদের	সাথে	200
জন্য	কিছু	200
আমার	মেয়ে	199
করা	উচিৎ	198
অপেক্ষা	করছে	198
এখানে	কেন	197
এটা	খুব	197
তোমার	বাবার	197
আমি	তোর	197
শুধু	আমার	197
