word	count	sources	reason	engine
কেওলিন	1	people+science	normalized_variant	কলিন
নছীম	13	people+places	already_resolves	নছীম
আথার	1	people	normalized_variant	আঠার
স্নায়ুবিদ	1	people	normalized_variant	স্নায়ুবিদ্যা
চীং	6	people+places	normalized_variant	চীন
লাভার্স	1	people	normalized_variant	লাভারস
শামসউল	5	people+places	normalized_variant	শামসুল
চুরুলিয়ার	1	people	already_resolves	চুরুলিয়ার
মুহাম্মদুল্লাহ	1	people	normalized_variant	মোহাম্মদুল্লাহ
জুনুনি	1	people	already_resolves	জুনুনি
মবিনউদ্দিন	1	people	normalized_variant	মইনউদ্দিন
নিউজিল্যান্ডীয়	1	people	normalized_variant	নিউজিল্যান্ড
মার্কিনী	1	people	already_resolves	মার্কিনী
সক্রিয়কর্মী	1	people	already_resolves	সক্রিয়কর্মী
বসুনীয়া	1	people+places	normalized_variant	বসুনিয়া
মোবিনুল	1	people	normalized_variant	মবিনুল
কুশারী	1	people	normalized_variant	কুশ্রী
মাশির	1	people	normalized_variant	মাসির
শানাজ	1	people	normalized_variant	শানা
ইনতেসার	1	people	already_resolves	ইনতেসার
আলিস	1	people	normalized_variant	লাইস
জাইমুল	1	people	normalized_variant	জামিউল
নাদিমুদ্দিন	1	people	normalized_variant	নাজিমুদ্দিন
মাইশুকুর	1	people	normalized_variant	মাইসুকুর
মাশরাফী	1	people+places	normalized_variant	মাশরাফিই
আভিষেক	1	people	normalized_variant	অভিষেক
রুয়েল	1	people	normalized_variant	রুয়ে
মুকিদুল	1	people+places	already_resolves	মুকিদুল
মেহেরব	1	people	normalized_variant	মেহের
অতিক	1	people	normalized_variant	ওটিকে
নিয়ামুর	1	people	normalized_variant	নিয়াম
শরিফুল্লাহ	1	people	normalized_variant	শরীফুল্লাহ
শাকিনুল	1	people	already_resolves	শাকিনুল
আরিফুরজ্জামান	1	people	already_resolves	আরিফুরজ্জামান
সাবিবুল	1	people	already_resolves	সাবিবুল
মাহেদী	1	people+places	normalized_variant	মাহ্দী
সাঘির	1	people	already_resolves	সাঘির
মুফাসির	1	people	normalized_variant	মুফাচ্ছির
ইশমা	1	people	already_resolves	ইশমা
খবিরুদ্দিন	1	people	normalized_variant	খবিরউদ্দিন
পাঁচবাগী	1	people	normalized_variant	পাঁচবাগ
শোভারানি	1	people	normalized_variant	শোভারানী
নেয়ামাতুল্লাহ	1	people	normalized_variant	নেয়ামতুল্লাহ
ফনীভূষণ	1	people	normalized_variant	ফণীভূষণ
খাঁজা	1	people	normalized_variant	খাজা
রবিনা	1	people	already_resolves	রবিনা
মন্ওয়ার	1	people	normalized_variant	মনোয়ার
মাসঊদ	1	people+places	normalized_variant	মাসউদ
আজহারী	1	people	already_resolves	আজহারী
মাশরেকী	1	people	normalized_variant	মাশরেক
এষ	1	people	normalized_variant	এস
শিবদাস	1	people	already_resolves	শিবদাস
অনম	1	people	normalized_variant	নোম
হবিবুল্লাহ	1	people	normalized_variant	হবীবুল্লাহ
করিমুন্নেসা	1	people	normalized_variant	করিমুন্নেছা
তাহেরন	1	people	already_resolves	তাহেরন
রহিমুন্নিসা	1	people	normalized_variant	রহিমুননেছা
নারমীন	1	people	normalized_variant	নারমিন
গুরুনাথ	1	people	already_resolves	গুরুনাথ
জমিরুদ্দীন	1	people	normalized_variant	জমিরুদ্দিন
নেয়ামাল	1	people	already_resolves	নেয়ামাল
ছটকু	1	people	normalized_variant	ছোটো
বান্নাহ	1	people	normalized_variant	হান্নাহ
আওকাত	1	people	already_resolves	আওকাত
শাওকী	1	people	normalized_variant	সাকী
মকসুদুস	1	people	already_resolves	মকসুদুস
জয়ীগিরদার	1	people	already_resolves	জয়ীগিরদার
তশনা	1	people	normalized_variant	তোশনা
ফালগুনী	1	people	normalized_variant	ফাল্গুনী
রাধাপদ	1	people+places	already_resolves	রাধাপদ
সেজুল	1	people	already_resolves	সেজুল
নানুপুরী	1	people	normalized_variant	নানুপুর
জালালাবাদী	1	people	normalized_variant	জালালাবাদ
কিসমতী	1	people	already_resolves	কিসমতী
ভূমেন্দ্র	1	people	already_resolves	ভূমেন্দ্র
ফিরদৌসী	1	people	already_resolves	ফিরদৌসী
মান্দ	1	people	normalized_variant	মান্দ্য
শায়না	1	people	normalized_variant	সায়না
মিসবাহুন	1	people	normalized_variant	মিসবাহ
রাফিয়াথ	1	people	already_resolves	রাফিয়াথ
সাদনিমা	1	people	already_resolves	সাদনিমা
ফারিণ	6	people+news	normalized_variant	ফারিন
নেহরিন	1	people	normalized_variant	নেহ্রীন
ফাযিল	67	places	normalized_variant	ফাজিল
ডাঃ	39	places+people	normalized_variant	দা
গৌড়স্থান	24	places	normalized_variant	গোরস্থান
বহুমূখী	16	places	already_resolves	বহুমূখী
চন্ডী	6	places	normalized_variant	চণ্ডী
মগিনি	2	places	normalized_variant	মগিনী
হরিণাকুন্ডু	7	places	normalized_variant	হরিণাকুণ্ডু
তেঘরীয়া	11	places	normalized_variant	তেঘরিয়া
নারায়নপুর	18	places+unions	normalized_variant	নারায়ণপুর
নৈয়ারী	1	places	normalized_variant	নিয়ার
পুরকুইল	10	places	already_resolves	পুরকুইল
মহিষকুন্ডি	39	places+unions	normalized_variant	মহিষকুণ্ডি
ভূজপূর	1	places	normalized_variant	ভূজপুর
পলাশকান্দি	1	places	normalized_variant	পলাশকান্দী
আমেরিক্যান	9	places	normalized_variant	আমেরিকান
জামিনপুর	7	places	already_resolves	জামিনপুর
বহলবাড়ীয়া	13	places+unions	normalized_variant	বহলবাড়িয়া
শালঘর	5	places	normalized_variant	সালঘর
মধুয়া	5	places	normalized_variant	মহুয়া
দতিনাখালী	1	places	already_resolves	দতিনাখালী
পরাগলপুর	1	places	already_resolves	পরাগলপুর
টিকইল	1	places	normalized_variant	টিকল
