হয়	না	661
এর	জন্য	601
ভাই	আমার	504
ইউজার	ভাই	467
ভাই	আমি	465
করতে	হবে	463
ভাই	আপনার	427
ট্রিকবিডি	তে	425
হবে	না	416
একটা	পোস্ট	412
আপনি	কি	398
কাজ	করে	374
করার	জন্য	364
প্লিজ	হেল্প	359
করা	যায়	356
অনেক	ভালো	323
হচ্ছে	না	322
ভালো	লাগে	303
করে	না	297
পোস্ট	টা	294
ভাই	আপনি	289
হেল্প	মি	289
ভালো	পোস্ট	284
কি	করবো	271
এই	পোস্ট	269
মনে	হয়	267
দেন	প্লিজ	267
করা	যাবে	267
এফবি	তে	265
পোস্ট	করেন	264
ভালো	হতো	263
নাইস	পোস্ট	259
না	ভাই	255
প্লিজ	প্লিজ	254
পোস্ট	এ	251
এফবি	আইডি	248
করতে	পারবেন	247
আপনার	এফবি	245
খুব	ভালো	245
করা	হয়	241
আমার	ফোন	235
পারছি	না	231
ফোন	এ	227
যায়	না	226
ফ্রি	নেট	226
করতে	পারেন	225
গুড	পোস্ট	220
হয়ে	গেছে	218
তুমি	কি	217
ট্রাই	করে	212
পাওয়া	যায়	211
থ্যাংক	ইউ	210
আমি	তো	209
এটা	কি	206
লিংক	টা	202
দিতে	পারবেন	202
করবো	কিভাবে	202
নিয়ে	পোস্ট	198
ডাউনলোড	করতে	194
ভাই	প্লিজ	194
দিয়ে	কি	193
করার	পর	192
হয়ে	যায়	187
না	কেন	185
আমি	আমার	185
কি	ভাবে	184
কাজ	করবে	182
আমার	পোস্ট	181
ভালো	করে	180
পোস্ট	করার	179
ডাউনলোড	লিংক	178
দিলে	ভালো	177
টা	দেন	177
পোস্ট	এর	172
পোস্ট	করা	170
কি	হবে	169
প্লিজ	ভাই	169
এখন	কি	168
করতে	পারি	168
আমার	কাছে	167
আমার	সাথে	166
চলে	না	163
লাগে	না	163
ইউসার	ভাই	161
করতে	হয়	160
ট্রিকবিডি	এর	160
অনেক	আগে	158
ভাই	এটা	157
পোস্ট	করে	156
আপনার	সাথে	156
ইউজ	করতে	154
পাওয়া	যাবে	153
করেন	প্লিজ	153
না	প্লিজ	152
ভালো	লাগলো	152
আপনার	পোস্ট	151
নিয়ে	একটা	150
থ্যাংকস	ফর	150
বুঝলাম	না	150
থ্যাংকস	ভাই	149
লিংক	দেন	149
ট্রাই	করেন	146
আমি	আপনার	146
