thekera	থেকেরা	ঠেকেরা
zayte	যায়তে	জায়তে
zaote	যাওতে	জায়তে
harra	হাররা	হার্রা
amiira	আমিইরা	আমীরা
shahta	শাহটা	সাহতা
ihari	ইহারি	ইহারই
paromanobikta	পারমাণবিকটা	পারমাণবিকতা
zekonoo	যেকোনূ	যেকোনও
sthanangker	স্থানাংকের	স্থানাঙ্কের
khristopuurbe	খ্রিষ্টপূর্বে	খ্রিস্টপূর্বে
zugeer	যুগেের	যুগীর
arjentinarta	আর্জেন্টিনা রোটা	আর্জেন্টিনাভক্ত
grrihiitte	গৃহীততে	গৃহীত্বে
grrihiitta	গৃহী তোতা	গৃহীত্বা
tahaderi	তাহাদেরি	তাহাদেরই
alternativeser	অল্টারনেটিভ সের	অল্টারনেটিভসের
armeniata	আর্মেনিয়া	আর্মেনিয়াকা
armorta	আর্মার্ড	আর্মর্ড
astronomyta	আস্ত্রনম্য্তা	আস্ত্রোনোমিয়া
bidste	বিদ্যুতে	বিদ্যতে
charitablete	চারি ট্যাবলেটে	চারিটা বলেতে
charmingta	চার্মি	চার্মিলার
drawta	দ্রবতা	দ্রাওতা
drewta	দ্রবতা	ড্রেসটা
droveta	দ্রবতা	দ্রততার
