আমার	মনে	হয়	966
আমি	জানি	না	732
না	না	না	702
সাথে	দেখা	করতে	335
ঠিক	হয়ে	যাবে	333
করতে	পারবে	না	330
আমি	মনে	করি	314
সব	ঠিক	আছে	312
কি	মনে	হয়	294
আমি	তোমার	সাথে	284
আমি	জানি	তুমি	271
সাথে	কথা	বলতে	267
আমি	ঠিক	আছি	262
এখান	থেকে	বের	255
তুমি	ঠিক	আছো	241
মনে	হয়	না	239
তুমি	ঠিক	আছ	233
ঠিক	আছে	আমি	221
তুমি	আমার	সাথে	210
বুঝতে	পারছি	না	208
আমি	চাই	তুমি	204
তোমার	কি	মনে	199
তুমি	কি	জানো	198
করতে	পারছি	না	191
আমি	তোমার	জন্য	187
চিন্তা	করো	না	184
সব	ঠিক	হয়ে	178
করতে	পারবো	না	176
তুমি	কি	আমাকে	176
তুমি	কি	আমার	175
মনে	হয়	আমি	174
শুরু	করা	যাক	170
আমি	বুঝতে	পারছি	165
বের	করতে	হবে	162
সাহায্য	করতে	পারি	160
হোক	না	কেন	156
যাও	যাও	যাও	156
এখান	থেকে	চলে	153
দেখে	মনে	হচ্ছে	153
আমার	কাছ	থেকে	153
আমি	বলতে	চাচ্ছি	151
হতে	পারে	না	149
খুঁজে	বের	করতে	147
আমি	তোমাকে	ভালবাসি	139
আচ্ছা	ঠিক	আছে	135
তুমি	আর	আমি	134
তোমার	সাথে	দেখা	133
আমার	মনে	হচ্ছে	132
আমার	কথা	শোন	131
চিন্তা	করবেন	না	131
করতে	পারব	না	129
করতে	পারে	না	128
কথা	বলতে	চাই	127
করতে	পারি	না	126
ঠিক	আছে	তাহলে	125
তোমার	সাথে	কথা	124
আমি	জানতাম	না	123
আমাকে	যেতে	হবে	123
আছে	ঠিক	আছে	123
আমি	পারবো	না	122
আমার	দিকে	তাকাও	121
না	ঠিক	আছে	120
কোন	সমস্যা	নেই	120
তুমি	জানো	আমি	120
না	তাই	না	119
আপনি	ঠিক	আছেন	119
তার	সাথে	কথা	118
ঠিক	আছে	ঠিক	117
আমার	সাথে	কথা	115
আপনি	কি	জানেন	113
তুমি	কি	মনে	113
ঠিক	আছে	স্যার	113
কথা	বলতে	পারি	112
মনে	হচ্ছে	না	112
শেষ	হয়ে	যাবে	110
মনে	হয়	এটা	109
তুমি	কি	চাও	108
তুমি	এখানে	কি	107
মনে	হয়	সে	105
আমি	বিশ্বাস	করি	105
কি	করতে	হবে	105
মনে	হয়	তুমি	104
আমি	ভেবেছিলাম	তুমি	103
আমি	তার	সাথে	102
তুমি	কি	করছ	102
হা	হা	হা	102
আমি	জানি	আমি	101
যাই	হোক	না	101
থেকে	বের	হতে	100
কাজ	করতে	হবে	98
এটা	ঠিক	আছে	96
ঠিক	আছে	তো	95
করতে	হবে	না	95
তোমার	নাম	কি	95
কথা	মনে	আছে	94
আমি	তোমাকে	ভালোবাসি	94
আমাদের	যেতে	হবে	94
আমি	তোমার	কাছে	92
আমি	জানতে	চাই	91
এটা	তোমার	জন্য	91
করা	যাবে	না	91
আমি	জানি	এটা	90
করতে	চাই	না	88
কোন	ব্যাপার	না	87
