kotha	কথা
kal	কাল
bari	বাড়ি
pora	পড়া
pori	পরি
sona	সোনা
asa	আশা
dan	দান
kan	কান
jol	জল
jal	জাল
mata	মাতা
mati	মাটি
sara	সারা
sari	শাড়ি
hat	হাত
hath	হাত
bala	বালা
kala	কালা
gan	গান
gari	গাড়ি
dol	দল
chal	চাল
chul	চুল
bhat	ভাত
mon	মন
bon	বন
ban	বান
dhan	ধান
pata	পাতা
khali	খালি
kali	কালি
tala	তালা
kora	করা
nodi	নদী
nari	নারী
para	পাড়া
moja	মজা
roj	রোজ
raj	রাজ
jor	জোর
chor	চোর
din	দিন
sob	সব
sobai	সবাই
jani	জানি
jano	জানো
bolo	বলো
bola	বলা
khela	খেলা
kheli	খেলি
pani	পানি
pan	পান
tel	তেল
bel	বেল
nun	নুন
noon	নুন
phul	ফুল
ful	ফুল
bhul	ভুল
vul	ভুল
shobdo	শব্দ
sobdo	শব্দ
onek	অনেক
anek	অনেক
ekhon	এখন
akhon	এখন
tomar	তোমার
tumar	তোমার
amader	আমাদের
ader	আদের
kintu	কিন্তু
kintuk	কিন্তু
chorpara	চরপাড়া
nayanpur	নয়নপুর
bhorbari	ভোরবাড়ি
mirzapur	মির্জাপুর
rangpur	রংপুর
dinajpur	দিনাজপুর
ashulia	আশুলিয়া
savar	সাভার
