tara	তাঁরা
ba	বাঁ
jader	যাঁদের
kacharii	কাঁচারী
pulis	পুলিশ
des	দেশ
bes	বেশ
asa	আশা
sekh	শেখ
las	লাশ
sah	শাহ
sona	শোনা
notis	নোটিশ
chas	চাষ
pas	পাশ
rosid	রশিদ
sahed	সাহেদ
ongs	অংশ
sonakt	শনাক্ত
poriskar	পরিষ্কার
ai	আই
ata	আতা
ariya	আড়িয়া
joyoshongkor	জয়শঙ্কর
kathomandubhittik	কাঠমান্ডুভিত্তিক
rosochithi	রসচিঠি
charmilar	চার্মিলার
chhadobhittik	ছাদভিত্তিক
jonoupatt	জনউপাত্ত
grrihogonona	গৃহগণনা
ronohat	রণহাট
zodupur	যদুপুর
plaisotosin	প্লাইসটোসিন
bihaidohor	বিহাইডহর
kheora	খেওড়া
khondol	খন্ডল
arag	আরাগ
tunggiipara	টুংগীপাড়া
madaripur	মাদারিপুর
raniirobondor	রাণীরবন্দর
gonggachora	গংগাচড়া
bhuutta	ভূট্টা
eksilaret	এক্সিলারেট
daimenositi	ডাইমেনসিটি
hiumyanoyed	হিউম্যানয়েড
mophokengyer	মোফোকেংয়ের
bioyaidir	বিওয়াইডির
tasoriph	তাসরিফ
piesoji	পিএসজি
lyantarnos	ল্যান্টার্নস
enema	এনেমা
myakaiye	ম্যাকাইয়ে
binna	বিন্না
phincarer	ফিঞ্চারের
oyanda	অ্যান্ডা
chyapo	চ্যাপো
treitors	ট্রেইটর্স
ashita	আশিতা
lila	লিলা
krira	ক্রিড়া
prachin	প্রাচিন
muukhii	মূখী
boholobariiya	বহলবাড়ীয়া
borni	বর্নি
mohishokundi	মহিষকুন্ডি
tushobhandar	তুষভান্ডার
soya	সোয়া
mora	মোড়া
asok	আসক
simel	সিমেল
oyant	ওয়ান্ট
songshkrriti	সংষ্কৃতি
prathimok	প্রাথিমক
pakarasta	পাকারাস্তা
mujabornii	মুজাবর্ণী
puurnomoti	পূর্ণমতি
