প্লিজ	হেল্প	মি	140
কাজ	করে	না	136
আপনার	এফবি	আইডি	120
নিয়ে	একটা	পোস্ট	119
প্লিজ	প্লিজ	প্লিজ	106
করতে	পারছি	না	101
দিলে	ভালো	হতো	100
ভাই	আপনার	এফবি	85
একটা	পোস্ট	করেন	82
আমার	ফোন	এ	69
আপনার	এফবি	লিংক	64
লিংক	টা	দেন	63
ভালো	লাগে	না	62
এখন	কি	করবো	59
শেয়ার	করার	জন্য	55
আমার	ছোট	বোন	55
ট্রিকবিডি	তে	পোস্ট	54
অনেক	ভালো	লাগে	54
খুব	ভালো	লাগে	53
না	প্লিজ	হেল্প	52
টা	দেন	প্লিজ	50
ভাই	আপনি	কি	48
এফবি	তে	আসেন	48
করা	যায়	না	47
আমার	মনে	হয়	46
কাজ	করছে	না	44
অনেক	দিন	পর	44
ইউজার	ভাই	আপনার	43
আপনি	কি	আমাকে	41
আমাকে	টিউনার	বানান	41
গুগল	এ	সার্চ	41
ট্রাই	করে	দেখেন	40
পোস্ট	করার	জন্য	40
করে	দেখতে	পারেন	40
করতে	পারি	না	40
এই	পোস্ট	টা	39
কমেন্ট	এর	জন্য	39
এফবি	আইডি	টা	39
করা	যাবে	না	39
কাজ	হয়	না	38
কি	করতে	হবে	37
একটু	বলবেন	প্লিজ	37
ভাই	আমাকে	টিউনার	36
পোস্ট	করেন	প্লিজ	36
কানেক্ট	হয়	না	36
প্লে	স্টোর	থেকে	36
হেল্প	মি	প্লিজ	36
সাথে	দেখা	করতে	36
এ	ক্লিক	করলে	35
একটু	হেল্প	করেন	35
আমার	ছোট	ভাই	35
কি	করতে	পারি	34
ভালো	ভালো	পোস্ট	34
ডাউনলোড	হচ্ছে	না	34
পাওয়া	যায়	না	34
এটা	দিয়ে	কি	34
ভাল	লাগে	না	34
না	কি	করবো	33
ইউজ	করা	যাবে	33
লিংক	দেন	প্লিজ	33
আমি	ট্রিকবিডি	তে	32
কি	করবো	প্লিজ	32
করবো	প্লিজ	হেল্প	32
ডাউনলোড	হয়	না	32
সাথে	কথা	বলে	32
আমি	অনেক	আগে	32
হয়	না	কেন	31
এর	জন্য	একটা	31
