mazar	মাজার	মাযার
phisar	অফিসার	ফিসার
razii	রাজী	রাযী
zome	জমে	যমে
zat	জাত	যাত
zam	জাম	যাম
zage	জাগে	যাগে
zayer	জায়ের	যায়ের
zaoe	যাও	যাওএ
zarer	জারের	যারের
zanta	জান্তা	যান্তা
zener	জেনের	যেনের
zeni	জেনি	যেনি
zodioe	যদিও	যদিওএ
zaii	জাঈ	যাঈ
zarate	জারাতে	যারাতে
zateo	যাতে	যাতেও
zetao	জেতাও	যেতাও
zaber	জাবের	যাবের
zuddheta	জুদ্ধেতা	যুদ্ধেতা
zakeo	যাকে	যাকেও
zehetuo	যেহেতু	যেহেতুও
zehetui	যেহেতু	যেহেতুই
zayonio	যায়নি	যায়নিও
zebhabeta	জেভাবেতা	যেভাবেতা
zebhabeo	যেভাবে	যেভাবেও
zahao	যাহা	যাহাও
zeite	জেইতে	যেইতে
zeio	জেইও	যেইও
zetii	জেতী	যেতী
zothao	যথা	যথাও
zothai	অযথাই	যথাই
zomunao	যমুনা	যমুনাও
zomunai	যমুনা	যমুনাই
zegulota	জেগুলতা	যেগুলতা
zeguloi	যেগুলো	যেগুলৈ
amazingte	আমাজিংতে	আমাযিংতে
amazingta	আমাজিংতা	আমাযিংতা
amazoner	আমাজনের	আমাযনের
amazone	আমাজনে	আমাযনে
belizete	বেলিজেতে	বেলিযেতে
belizeta	বেলিজেতা	বেলিযেতা
citizenser	ছিতিজেন্সের	ছিতিযেন্সের
civilizationer	ছিভিলিজাতিওনের	ছিভিলিযাতিওনের
civilizationte	ছিভিলিজাতিওন্তে	ছিভিলিযাতিওন্তে
civilizationta	ছিভিলিজাতিওন্তা	ছিভিলিযাতিওন্তা
dozener	ওয়েনের	দযেনের
dozene	ডাজেনস	দযেনে
dozente	দজেন্তে	দযেন্তে
dozenta	দজেন্তা	দযেন্তা
dozenser	দজেন্সের	দযেন্সের
dozense	ডাজেনস	দযেন্সে
elizabether	এলিজাবেথের	এলিযাবেথের
elizabethe	এলিজাবেথে	এলিযাবেথে
