key	expected	device_commit	device_strip	match	in_strip
tara	তাঁরা	তারা	তারা|টারা|টায়রা|তারায়|তাড়া	False	False
ba	বাঁ	বা	বা|বাড়|বায়|বড়া|বয়া|বয়ড়া	False	False
jader	যাঁদের	যাদের	যাদের|জাতের|জাহের	False	False
kacharii	কাঁচারী	কাচারী	কাচারী|কাছারী|কাছারি|কাচারীপাড়া	False	False
pulis	পুলিশ	পুলিস	পুলিস|পুলিশি|পুলিন|পুলিসের	False	False
des	দেশ	ডেস	ডেস|দেস|দেশ|দ্বেষ|দেছ	False	True
bes	বেশ	বেস	বেস|বয়েস|বেচছ|বেশি|বেস্ট	False	False
asa	আশা	আসা	আসা|আসায়|আচ্ছা|আস্হা	False	False
sekh	শেখ	সেখ	সেখ|সেখানে|সেখান|সেখানেই	False	False
las	লাশ	লাস	লাস|লাস্য|লস|লাস্ট|লাং	False	False
sah	শাহ	সাহ	সাহ|সাহিত্য|সাহিত্যিক|সাহস	False	False
sona	শোনা	সোনা	সোনা|ছোঁয়া|সোনার|সোনালী	False	False
notis	নোটিশ	নোটিস	নোটিস|নতিস্বীকার|নোটিশে|নোটিশের	False	False
chas	চাষ	চাস	চাস|চাচ্ছ|চাষের|চাষে|চাষী	False	False
pas	পাশ	পাস	পাস|পায়স|পাচ্ছ|পাছ|পাস্তা	False	False
rosid	রশিদ	রসিদ	রসিদ|রশীদ|রসিক|রসিদের	False	False
sahed	সাহেদ	শাহেদ	শাহেদ|শাহে|সাহেদা|শাহেদা	False	False
ongs	অংশ	অংস	অংস|অংশে|অংশগ্রহণ|অংশের	False	False
sonakt	শনাক্ত	সনাক্ত	সনাক্ত|সনাক্তযোগ্য|সনাক্তকরণ	False	False
poriskar	পরিষ্কার	পরিস্কার	পরিস্কার|পরিষ্কারক|পরিসংখ্যা	False	False
ai	আই	এই	এই|আইড়|আড়ি|আয়ই|অই	False	False
ata	আতা	এটা	এটা|আটা|আটটা|আওতা|আঁটা	False	False
ariya	আড়িয়া	আরিয়া	আরিয়া|আরিকা|আড়িয়াল|আরিয়ান	False	False
joyoshongkor	জয়শঙ্কর	জয় শঙ্কর	জয় শঙ্কর|জয়শ্রী|জয়শ্রীর	False	False
kathomandubhittik	কাঠমান্ডুভিত্তিক	কাঠমান্ডু ভিত্তিক	কাঠমান্ডু|কাঠমান্ডুতে|কাঠকচুর	False	False
rosochithi	রসচিঠি	রস চিঠি	রস চিঠি|রসদ|রসবোধ	False	False
charmilar	চার্মিলার	চার মিলার	চার মিলার|চার্ম|ছার মিলার	False	False
chhadobhittik	ছাদভিত্তিক	ছাদ ভিত্তিক	ছাদ ভিত্তিক|ছাদবাগান	False	False
jonoupatt	জনউপাত্ত	জন উপাত্ত	জন উপাত্ত|জনসংখ্যা|জনসংখ্যার	False	False
grrihogonona	গৃহগণনা	গৃহ গণনা	গৃহ গণনা|গৃহযুদ্ধ|গৃহপালিত	False	False
ronohat	রণহাট	রনহাত	রনহাত|রণক্ষেত্র|রণবীর|রণক্ষেত্রে	False	False
zodupur	যদুপুর	জদুপুর	জদুপুর|যদুনাথ|যদু|যদুবংশ	False	False
plaisotosin	প্লাইসটোসিন	প্লাইসতসিন	প্লাইসতসিন|পলাইল|পলাইয়া	False	False
