word	count	input	prefixOutputs	riKarLeak
করিয়া	23738	koriya	ক|কো|কর|করি|কোরীয়|কোরিয়া	false
করিতে	12981	korite	ক|কো|কর|করি|করিত|করিতে	false
করি	7641	kori	ক|কো|কর|করি	false
করিলেন	7427	korilen	ক|কো|কর|করি|করিল|করিলে|করিলেন	false
তারিখ	6017	tarikh	ত|তা|তার|তারি|তারিখ|তারিখ	false
করিল	5508	koril	ক|কো|কর|করি|করিল	false
তৈরি	5452	toiri	ত|তো|টয়|তৈয়র|তৈরী	false
মৃত্যু	5331	mrrityu	ম|ময়র|মর|ম্র্রি|মৃত|মৃত্য|মৃত্যু	false
ব্রিটিশ	5118	british	ব|বড়র|ব্রি|বৃত্ত|বৃত্তি|ব্রিটিশ|ব্রিটিশ	true
পরিচিত	5038	porichit	প|পো|পর|পড়ি|পড়িছ|পরিচয়|পড়িচি|পরিচিত	false
করিবে	4814	koribe	ক|কো|কর|করি|করিব|করিবে	false
ত্রি	4734	tri	ত|ত্রয়|ট্রি	false
সরকারি	4690	sorokari	সঃ|সো|সর|সরো|সড়ক|সরকা|সরকার|সরকারি	false
জানুয়ারি	4491	januyari	জ|জা|জান|জানু|জানুয়|জানুযারি|জানুযারি|জানুয়ারি	false
এপ্রিল	4282	epril	এ|এপ|এপ্র|এপ্রি|এপ্রিল	false
করিলে	3884	korile	ক|কো|কর|করি|করিল|করিলে	false
উদ্ধৃতি	3746	uddhrriti	উ|উদয়|উদয়|উদ্ধ|উদ্ধ্র|উদ্ধ্র্র|উদ্ধৃত|উদ্ধৃত|উদ্ধৃতি	false
প্রভৃতি	3617	probhrriti	প|প্র|প্রো|প্রোব|প্রভ|প্রভ্র|প্রভ্র|প্রভাকরের|প্রভ্র্রিত|প্রভৃতি	false
ব্যবহৃত	3389	byobohrrit	ব|ব্য|ব্য|ব্যব|ব্যব|ব্যবহার|ব্যবহার|ব্যবহ্র্র|ব্যবহারকারী|ব্যবহৃত	false
করিব	3246	korib	ক|কো|কর|করি|করিব	false
করিবার	3081	koribar	ক|কো|কর|করি|করিব|করিবা|করিবার	false
পৃথিবীর	2822	prrithibiir	প|প্র|প্রর|প্র্রি|প্রিট|পৃথক|পৃথি|পৃথিবী|পৃথিবী|পৃথিবী|পৃথিবীর	false
হৃদয়	2794	hrridoy	হ|এচার|হরর|হ্র্রি|হৃদ|হৃদ|হৃদয়	false
তৃতীয়	2771	trritiiy	ত|ত্রয়|ট্রয়র|ত্র্রি|ট্রিট|তৃতীয়|তৃতীয়|তৃতীয়	false
